,City Name,Lattitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed,Country,Date
0,Tuatapere,-46.13,167.68,39.0,83,14,3.0,NZ,1592522702
1,Te Anau,-45.42,167.72,36.82,80,16,1.16,NZ,1592522702
2,Pisco,-13.7,-76.22,64.22,82,75,11.41,PE,1592522450
3,Tarija,-21.54,-64.73,58.89,59,0,3.29,BO,1592522702
4,Tiksi,71.69,128.87,53.35,72,100,2.93,RU,1592522702
5,Mareeba,-17.0,145.43,66.34,92,48,3.0,AU,1592522702
6,Bethel,41.37,-73.41,74.5,78,75,5.82,US,1592522702
7,Maniwaki,46.38,-75.97,80.76,56,0,4.25,CA,1592522702
8,Richards Bay,-28.78,32.04,58.17,83,100,3.94,ZA,1592522702
9,Puerto Ayora,-0.74,-90.35,73.0,86,70,1.01,EC,1592522702
10,Lüderitz,-26.65,15.16,68.0,28,0,3.36,NA,1592522702
11,Rikitea,-23.12,-134.97,75.25,85,100,15.52,PF,1592522702
12,Leningradskiy,69.38,178.42,46.09,57,44,7.87,RU,1592522703
13,Bichena,10.45,38.2,59.11,61,97,4.27,ET,1592522703
14,Arraial do Cabo,-22.97,-42.03,69.8,88,11,9.17,BR,1592522703
15,West Odessa,31.84,-102.5,102.18,8,1,8.88,US,1592522703
16,Natá,8.33,-80.52,77.0,72,99,3.24,PA,1592522703
17,Cukai,4.25,103.42,75.11,94,20,4.65,MY,1592522703
18,Say,13.1,2.37,86.0,58,78,6.93,NE,1592522703
19,Severo-Kuril'sk,50.68,156.12,43.97,85,82,8.95,RU,1592522703
20,Ushuaia,-54.8,-68.3,33.8,74,18,5.82,AR,1592522623
21,Sawtell,-30.38,153.1,57.38,93,40,9.17,AU,1592522703
22,Cape Town,-33.93,18.42,61.29,44,0,6.93,ZA,1592522458
23,Upernavik,72.79,-56.15,36.14,82,0,11.72,GL,1592522704
24,Torbay,47.67,-52.73,63.32,67,90,14.99,CA,1592522644
25,Kuli,42.02,47.24,73.4,60,75,6.93,RU,1592522704
26,Karema,-6.82,30.44,68.4,59,50,3.06,TZ,1592522704
27,Hithadhoo,-0.6,73.08,84.38,77,93,12.1,MV,1592522465
28,Laas,46.62,10.7,48.2,87,75,9.17,IT,1592522704
29,Hilo,19.73,-155.09,78.37,61,20,8.05,US,1592522521
30,Saint-François,46.42,3.91,51.89,81,20,4.36,FR,1592522704
31,Mar del Plata,-38.0,-57.56,51.22,93,32,8.05,AR,1592522704
32,Solana Beach,32.99,-117.27,70.41,63,1,10.29,US,1592522704
33,Clyde River,70.47,-68.59,32.0,87,90,6.93,CA,1592522704
34,Shushenskoye,53.33,91.94,59.0,77,91,11.18,RU,1592522705
35,Honiara,-9.43,159.95,87.8,70,20,9.17,SB,1592522705
36,Narsaq,60.92,-46.05,42.8,70,40,6.93,GL,1592522705
37,Penzance,50.12,-5.54,56.7,87,100,12.75,GB,1592522705
38,Ádendro,40.67,22.6,73.0,72,6,1.99,GR,1592522705
39,Chui,-33.7,-53.46,57.51,85,43,9.15,UY,1592522705
40,Mayor Pablo Lagerenza,-19.93,-60.77,84.36,45,98,7.47,PY,1592522705
41,Rio Grande,-32.03,-52.1,61.0,88,13,7.0,BR,1592522494
42,Tessalit,20.2,1.01,93.38,10,0,12.44,ML,1592522705
43,Mbanza-Ngungu,-5.25,14.87,66.15,58,57,1.5,CD,1592522705
44,Beringovskiy,63.05,179.32,51.6,50,0,3.11,RU,1592522705
45,Castro,-24.79,-50.01,57.6,95,98,4.36,BR,1592522705
46,Arrecife,28.96,-13.55,71.6,78,20,17.22,ES,1592522494
47,Atuona,-9.8,-139.03,80.04,76,14,12.08,PF,1592522706
48,Port Elizabeth,-33.92,25.57,46.4,87,0,4.7,ZA,1592522706
49,New Norfolk,-42.78,147.06,38.01,88,100,1.83,AU,1592522463
50,Kapaa,22.08,-159.32,80.73,74,90,17.22,US,1592522523
51,Vardø,70.37,31.11,46.4,65,75,11.41,NO,1592522706
52,Vila do Maio,15.13,-23.22,80.6,61,0,25.28,CV,1592522706
